acc_no,author,title,publisher_info,year,isbn,storage_loc,subject,class_no
B21951,B.S.Dhillon,Safety and Human Error in Engineering Systems,CRC Press,2013.0,9781466506923,TLC-R-4-S-71,Electrical /Electroanics,621.3 DHI
B19006,Dr.D.V. Prasad,Semiconductor Devices and circuits,Padiant Publishing House,1996.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 PRA
B16813,Kalavar (A),Electronic Principles and Applications,Everet Publishing House,1991.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 KAL
B13215,Millman (J),"Pulse, Digital, and Switching Waveforms",McGraw-Hill Book Company,1965.0,007y855129,TLC-R-4-S-71,Electrical /Electroanics,621.3MIL
B12912,Ballaney (PL),Refrigeratiion and Air Conditioning,Khanna Publishers,1972.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 BAL
B21653,Gupta(JB),Pulse and Digital Switching Circuits,S.K. Kataria & Sons,2005.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3GUP
B9878,Arora (BD),General Electrical Drawing,New Heights,1978.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 ARO
B8527,Levin (RI),Planning and Control With PERT/CPM,"Tata McGraw-hill Publishing Company Ltd, New delhi",1966.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 LEV
B14390,Ananthanarayanan(PN),Basic Refrigeration and Air Conditioning,"Tata McGraw-hill Publishing Company Ltd, New delhi",1989.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 ANA
B22324,Kurowski (PM),Engineering Analyis With Solidworks Simulation 2017,SDC Publications,2017.0,9781630570767,TLC-R-4-S-71,Electrical /Electroanics,621.3 KUR
B22125,Azar(K),Thermal Measurements in Electronics Cooling,CRC Press New york,1997.0,0849332796,TLC-R-4-S-71,Electrical /Electroanics,621.3 AZA
B21870,Trzynadlowaski(AM),Introduction to Modern Powre Electronics,Wiley India Pvt.Ltd,2010.0,9788126533800,TLC-R-4-S-71,Electrical /Electroanics,621.3 TRZ
B22638-DUP2,Knight (SA),Electronics for Engineering,BH Newnes,1996.0,0750623012,TLC-R-4-S-71,Electrical /Electroanics,621.3 KNI
B10797,Seymour (J),Electronic Devices and Components,ELBS,1981.0,0273022237,TLC-R-4-S-71,Electrical /Electroanics,621.3 SEY
B17143,Shsrms (MC),Fast Servicing With Oscilloscopes,BPB Publications,1994.0,8170294096,TLC-R-4-S-71,Electrical /Electroanics,621.3 SHA
B0304,Slack (EP),Elementary Electricity,McGraw-Hill Book Company,1943.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 SLA
B3014,Graham (FD),Audels New Electric library,DB Taraporeva,1931.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 GRA
B15869,Partab (H),Art & Science of Utilisation of Electrical Energy,Dhanpat Rai & Sons,1970.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 PAR
B10173,Bajaj(VK),Handy Pocket Book for Technicians,New Heights,,,TLC-R-4-S-71,Electrical /Electroanics,621.3 BAJ
B21977-DUP2,Pelgrom ( MJM),Analo-to-Digital Conversion,Springer,2013.0,9781461413707,TLC-R-4-S-71,Electrical /Electroanics,621.3 PEL
B22459,Buso (S),Digital Control in power electronics,Morgan & Claypool Publishers,2015.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 BUS
B14970,Richardson,Electrical Circuit Analysis,"Ellis Horwood ,New delhi",1990.0,0132480972,TLC-R-4-S-71,Electrical /Electroanics,621.3 RIC
B9838,Kakkar (KC),Fitter Trade Manual (V1),New Heights Publishers,,,TLC-R-4-S-71,Electrical /Electroanics,621.3 Kak
B18640,Anwani(ML),Basic Engineering Drawing,Dhanpat Rai & Co. (P) Ltd Delhi,1978.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 Kak
B21649,Kogure (H),Introduction to RF Design Using EM SiMulators,Artech House,2010.0,9781608071555,TLC-R-4-S-71,Electrical /Electroanics,621.3 KOG
B14907,Bell (DA),Fundamentals Of Electronic Devices,D.B Tarapoevala Sons & Co.Pvt. LTD,1979.0,,TLC-R-4-S-71,Electrical /Electroanics,621.3 BEL
B09979,Japan(T),Japanese Electronics,"The Simul Press,Inc",1983.0,4377505912,TLC-R-4-S-71,Electrical /Electroanics,621.3JAP
B21673,Mcshea (RE),Test and Evalution of Aircraft Avionics and Weapon Systems,Yes dee Publishing Pvt Ltd,2010.0,9789380381312,TLC-R-4-S-71,Electrical /Electroanics,621.3 MCS
AUTO-00062,Unknown Author,Untitled,,,,TLC-R-1-S-1,General,
B18733,Watson (J),Mastering Electronics,Macnilan,1983.0,0333669703,TLC-R-4-S-72,Electrical /Electroanics,621.3 WAT
B22662,Sawhney (AK),A Course in Electrical Machine Design,"Dhanpat Rai & Son , Delhi",1970.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3 SAW
B16805,Basford (L),Electricity Made Simple,"Rupa. CO, Delhi",1968.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3 BAS
B18652,BEL,Fundamentals of Electronic Devices,"Reston Publishing Company,INC",1979.0,,TLC-R-4-S-72,Electrical /Electroanics,621.3 BEL
